Stream_1,Stream_2,Stream_3,Stream_4
-506,-38,480,37
100,-351,86,343
466,162,-509,-156
-265,290,97,-289
-368,-267,475,259
401,-196,-259,194
229,340,-381,-330
-485,72,394,-73
-56,-361,234,353
501,53,-484,-48
-123,348,-66,-341
-458,-178,513,173
289,-283,-115,282
358,280,-472,-276
-417,180,287,-178
-203,-340,366,333
485,-60,-414,58
32,365,-220,-360
-499,-75,492,71
146,-339,41,335
446,196,-507,-188
-313,270,142,-266
-332,-291,457,283
432,-171,-308,168
184,350,-347,-343
-493,44,431,-42
-11,-363,194,358
495,92,-499,-89
-169,330,-19,-329
-437,-212,508,207
329,-257,-167,254
319,305,-444,-296
-442,148,328,-148
-160,-352,319,345
496,-28,-440,28
-14,360,-166,-356
-495,-100,506,100
194,-324,-9,321
421,221,-503,-215
-347,246,188,-241
-298,-309,428,303
451,-142,-339,137
142,361,-307,-355
-501,13,449,-11
44,-364,147,354
490,121,-506,-114
-219,317,34,-312
-415,-232,495,222
359,-229,-212,232
278,315,-417,-311
-463,114,366,-113
-109,-358,283,354
506,11,-468,-9
-64,358,-120,-354
-477,-138,508,136
237,-308,-55,306
391,248,-491,-242
-379,217,230,-218
-259,-330,405,317
468,-99,-377,103
93,368,-268,-359
-501,-29,474,28
93,-356,96,348
471,151,-507,-150
-263,302,87,-295
-378,-263,475,259
390,-199,-255,198
239,337,-387,-328
-476,80,397,-81
-69,-365,243,354
505,47,-484,-44
-113,344,-67,-342
-462,-172,510,170
281,-282,-112,281
362,273,-474,-267
-414,184,277,-184
-211,-341,368,333
489,-57,-409,61
39,360,-222,-358
-505,-68,491,66
139,-337,49,334
453,188,-509,-185
-305,270,139,-269
-342,-288,462,284
427,-167,-301,168
188,343,-353,-339
-494,50,420,-51
-11,-366,201,358
499,86,-495,-81
-163,340,-26,-328
-442,-206,506,199
322,-268,-160,257
326,297,-447,-294
-442,158,320,-151
-169,-354,334,349
499,-26,-436,26
-6,363,-179,-355
-495,-106,499,98
184,-326,0,323
427,220,-497,-213
-342,251,182,-250
-304,-309,437,304
449,-136,-341,133
148,358,-317,-350
-500,8,451,-11
36,-358,151,351
492,114,-506,-107
-218,316,29,-313
-415,-234,496,225
360,-235,-208,233
286,323,-422,-314
-460,119,361,-124
-119,-361,295,357
505,10,-462,-5
-62,356,-131,-351
-484,-140,508,137
231,-305,-52,300
400,250,-490,-243
-375,217,232,-214
-265,-325,405,315
473,-105,-376,105
97,366,-274,-357
-506,-23,472,22
88,-357,107,352
472,149,-510,-150
-254,303,78,-298
-381,-258,477,254
388,-210,-252,207
242,335,-389,-324
-476,88,390,-88
-71,-363,256,356
499,38,-483,-38
-108,348,-77,-344
-463,-165,510,159
277,-291,-106,288
368,273,-473,-267
-408,193,266,-193
-222,-339,373,338
484,-70,-404,75
48,365,-225,-362
-498,-59,490,56
133,-346,59,342
449,180,-504,-178
-296,282,117,-278
-349,-279,457,275
420,-178,-293,176
201,339,-357,-335
-490,55,430,-56
-22,-364,205,355
500,80,-496,-76
-160,336,-30,-330
-444,-197,503,191
315,-263,-148,265
331,289,-447,-285
-435,161,310,-160
-175,-352,340,346
502,-36,-434,31
-3,361,-195,-354
-498,-90,500,88
181,-327,8,324
